scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count,priority_decisions,total_priority_computation_time_s,mean_decision_latency_ms,p95_decision_latency_ms,max_decision_latency_ms,solver_calls_per_replication,solver_total_time_per_replication_s,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_time_per_call_ms,solver_p95_time_per_call_ms,solver_max_time_per_call_ms,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
base,C1,6021,1811,1809,75.375,99.88956377691883,1.5540105445705226,71.74589660748565,0.6552474441467955,0,9.71838763114301,100,0.427042447999996,4.422428708177237,0,100.0,21.751999999999946,3.7743055555555456,25.164718720001417,20.119472323331642,5.045246396669773,79.9511115033457,29.678888888888554,0.0,20.119472323331642,17.4754991111121,0,0,22.112143540886184,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6022,1776,1773,73.875,99.83108108108108,1.447616624915733,55.3254076285814,0.5716545027383765,0,8.389639639639634,100,0.4368188609304986,0.0,0,100.0,21.331999999999965,3.7013888888888795,25.145210065020507,20.119022527316524,5.0261875377039855,80.01135196442081,29.678888888888554,0.0,20.119022527316524,17.46195143404202,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6023,1833,1831,76.29166666666667,99.89088925259138,0.6853514221925517,54.19742305946044,0.2714113443338293,0,0.6546644844517169,100,0.4141212656329725,0.0,0,110.0,22.01799999999994,3.820277777777768,27.61634437212991,22.15124351490086,5.465100857229047,80.21062895368452,29.678888888888554,0.0,22.15124351490086,19.178016925090212,0,0,0.0,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6024,1817,1813,75.54166666666667,99.77985690698954,1.298510486808854,75.42014871317079,0.611355974723724,0,6.164006604292793,100,0.42492235190782185,3.6849848582081175,0,100.0,21.82399999999995,3.7868055555555458,25.327953313184118,20.132896825499902,5.195056487684217,79.48884213640744,29.676036211155456,0.0,20.132896825499902,17.588856467488966,0,0,18.42492429104059,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6025,1777,1773,73.875,99.77490151941475,0.8992193464575888,63.88919460991268,0.30549546327971067,0,2.926280247608326,100,0.43689180962458235,2.287050563616455,0,100.0,21.343999999999966,3.7034722222222127,25.018948535150336,20.118171907750426,4.9007766273999085,80.41174024354153,29.678888888888554,0.0,20.118171907750426,17.374269816076627,0,0,11.435252818082274,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6026,1818,1815,75.625,99.83498349834984,1.831557592593609,78.24530645707006,0.9119552579322112,0,9.405940594059404,100,0.4181758489822632,4.726394737017254,0,110.0,21.837999999999948,3.789027777777768,27.656694366385274,22.157744201494047,5.498950164891227,80.11710983227697,29.678888888888544,0.0,22.157744201494047,19.206037754434213,0,0,23.63197368508627,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6027,1819,1814,75.58333333333333,99.72512369433755,0.6609030127046818,55.40907177414374,0.2502052520716604,0,0.5497526113249052,100,0.42453965779708575,0.0,0,100.0,21.84799999999995,3.790972222222212,25.265723193049126,20.137415980937973,5.128307212111148,79.70251168776358,29.678888888888554,0.0,20.137415980937973,17.545641106284116,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6028,1834,1833,76.375,99.94547437295529,0.5747127320026161,52.07879515764768,0.24609215043056282,0,0.5452562704471142,100,0.4208653687736688,0.0,0,100.0,22.027999999999942,3.822222222222212,25.088467241479236,20.139370764384722,4.949096477094518,80.27342033509294,29.678888888888554,0.0,20.139370764384722,17.422546695471688,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6029,1826,1824,76.0,99.89047097480832,1.3986137782078953,66.20846506863806,0.4997938210989908,0,8.59802847754655,100,0.4227135774063459,1.4668669192681654,0,100.0,21.93199999999994,3.8055555555555456,25.22311213371548,20.134272821227842,5.088839312487634,79.82469694655387,29.678888888888554,0.0,20.134272821227842,17.516050092857967,0,0,7.334334596340826,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6030,1823,1819,75.79166666666667,99.7805814591333,1.0796929327629918,59.650761600569055,0.3759549095396258,0,4.004388370817336,100,0.424056655799886,1.503468860001764,0,100.0,21.895999999999944,3.799305555555545,25.039603912041045,20.132785377392,4.906818534649048,80.40376935719237,29.678888888888544,0.0,20.132785377392,17.388613827806278,0,0,7.51734430000882,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
