scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,weight_id,phase
stress_near_transition,C2,5018,1716,1696,70.66666666666667,98.83449883449883,2.1197317609513595,239.80848290767972,1.4751604801612264,43.54354354354354,11.49674620390455,56.45645645645646,0.5294288104863155,83.79233662802177,0,9190.0,46.41399999999982,5.368194444444443,65.56787951489697,52.63786121453993,12.930018300357041,80.27995049402298,19.31892442851915,17.461736966654776,35.176124247885156,91.0664993262458,3.0,6,586.5463563961524,690,24.782608695652176,153,919,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5019,1734,1730,72.08333333333333,99.76931949250289,1.1468199961539072,148.38036741139015,0.7621793080745012,37.46478873239436,1.8854242204496052,62.53521126760564,0.528997976771567,31.835500143969615,0,6610.0,46.16599999999985,5.373472222222219,63.9850197071302,51.05307171874212,12.93194798838808,79.78910056200701,19.20653447482314,12.374409688009816,38.67866203073231,88.86808292656971,3.0,6,222.84850100778732,479,16.910229645093946,116,661,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5020,1609,1600,66.66666666666667,99.44064636420137,1.246528939898186,249.7912190880173,0.8908278627655312,33.139534883720934,4.505928853754937,66.86046511627907,0.5679279976117535,39.63464189442046,0,12070.0,44.53599999999976,5.104027777777782,56.864289203676236,45.454027882875394,11.410261320800846,79.93422325225657,19.254350035781247,24.352853396379558,21.101174486495836,78.97817944955035,3.0,6,277.44249326094325,929,25.18837459634015,182,1207,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5021,1640,1635,68.125,99.6951219512195,4.329799089377072,312.0762985157395,3.4434508652979767,44.3502824858757,22.083981337480562,55.6497175141243,0.5494365178982106,89.921662415935,0,11750.0,45.24199999999977,5.1918055555555584,63.08399497930186,50.54950159923512,12.534493380066754,80.13046988514382,19.445870491538265,22.373427421625927,28.176074177609195,87.61665969347484,3.0,6,629.4516369115449,864,32.870370370370374,218,1175,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5022,1605,1603,66.79166666666667,99.8753894080997,0.78621807835143,158.29715833981936,0.5441891744873367,35.20249221183801,0.7009345794392496,64.797507788162,0.5676185772200223,24.641968570932363,0,10960.0,43.753999999999785,5.044722222222225,57.42023708110877,45.8600494095452,11.560187671563577,79.86739822192955,19.41613727038357,21.26161669193524,24.598432717609942,79.75032927931774,3.0,6,172.49377999652654,824,29.126213592233007,199,1096,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5023,1625,1620,67.5,99.6923076923077,0.7085951203616186,143.79416744480503,0.479655242037077,38.368580060422964,1.0046367851622828,61.631419939577036,0.563971158056632,11.796373136275784,0,10820.0,44.973999999999755,5.154444444444452,57.25853633945745,45.70840380560329,11.55013253385418,79.82810376887883,19.278287425922493,21.094657802314504,24.613746003288778,79.52574491591315,3.0,6,82.5746119539305,800,18.875,185,1082,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5024,1682,1680,70.0,99.88109393579072,1.5150993830239006,241.04951951798927,0.9463959202828863,44.927536231884055,6.133133881824982,55.072463768115945,0.5470836951060711,60.12575729223151,0,8470.0,45.44199999999983,5.25819444444444,60.06981766654016,48.034195395826536,12.035622270713624,79.96394406001725,19.232030510333452,16.31590387138563,31.718291524440907,83.43030231463912,3.0,6,420.88030104562057,637,25.745682888540035,139,847,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5025,1680,1647,68.625,98.03571428571428,11.661655576618337,360.46490251590996,10.474094199999712,53.105590062111794,29.45508100147275,46.8944099378882,0.5436601295326562,143.09681368072188,0,11120.0,45.675999999999775,5.271944444444447,61.995294715541256,49.74021534773719,12.25507936780409,80.23224274675171,19.276390449806645,21.590940939759683,28.1492744079775,86.10457599380734,3.0,6,1001.677695765053,813,17.958179581795818,186,1112,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5026,1672,1666,69.41666666666667,99.64114832535886,4.61954349767759,281.6494994512589,3.6552395567554976,51.764705882352935,19.14414414414415,48.23529411764706,0.5522456724694854,99.84742747282098,0,8140.0,45.03999999999981,5.217777777777778,58.46818107537933,46.917693115559665,11.550487959819677,80.24483103907689,19.408171215018612,15.249615091017526,31.668078024542137,81.20580704913797,3.0,6,698.9319923097469,584,20.205479452054796,160,814,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5027,1698,1693,70.54166666666667,99.7055359246172,8.238433934557507,329.573180894332,6.881400726797758,60.98901098901099,32.00899550224887,39.010989010989015,0.5359827665507942,141.570112091134,0,6520.0,45.203999999999866,5.26166666666666,64.06468565839974,51.31525252221141,12.749433136188319,80.09912480618453,19.250555555555515,12.61275403189397,38.70249849031744,88.97873008111074,3.0,6,990.990784637938,502,30.0796812749004,107,652,nan,nan,0.0,0,reference,reference
