phase,weight_id,scenario,metric,mean_difference,median_difference,ci95_low,ci95_high,paired_replications,direction,C4_low_soc_stops_total,C4_failure_count_total,soc,next_task_energy,idle,deadline
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,primary,urgent_on_time,-1.9950241615369912,-1.6246896826550774,-2.430881760196491,-1.5591665628774916,50,positive_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,stress_near_transition,delay,-15.690397694930029,-11.898869349319046,-21.5016201842218,-9.879175205638258,50,negative_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,stress_near_transition,urgent_on_time,-10.72039784629229,-10.331749533344638,-12.334913678516132,-9.105882014068447,50,positive_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,stress_non_binding,delay,2.807359491056399e-05,4.769912221869177e-06,-3.2631932686986556e-05,8.877912250811453e-05,50,negative_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,stress_strongly_constrained,delay,-39.67776117725895,-37.52370651312256,-44.67163899793655,-34.683883356581354,50,negative_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,stress_strongly_constrained,urgent_on_time,-1.1344160552456157,-0.9981988587458956,-1.3959372167060187,-0.8728948937852128,50,positive_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,stress_transition,delay,-55.75453207115612,-56.61695714562894,-61.35443940663509,-50.15462473567715,50,negative_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,stress_transition,urgent_on_time,-8.913875769241464,-8.906800370215011,-9.801944101175577,-8.025807437307352,50,positive_better,0.0,0,0.0,0.25,0.5,0.25
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,primary,delay,-41.98219072778486,-39.37795814592445,-47.969395637919796,-35.994985817649926,50,negative_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,primary,urgent_on_time,-2.030148745672976,-1.8441883661212626,-2.4668486874614297,-1.5934488038845223,50,positive_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,stress_near_transition,delay,-14.803160626510738,-11.463778038344834,-20.101331399394045,-9.504989853627432,50,negative_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,stress_near_transition,urgent_on_time,-11.156231650554886,-10.876933336987609,-12.79350362904128,-9.518959672068492,50,positive_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,stress_non_binding,delay,1.638542611380911e-05,-5.444623677454408e-05,-5.51042205390637e-05,8.787507276668193e-05,50,negative_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,stress_strongly_constrained,delay,-41.51295876281947,-41.990702046723385,-47.09310742707734,-35.9328100985616,50,negative_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,stress_strongly_constrained,urgent_on_time,-1.246862610048274,-1.1206132855279405,-1.5354056841382282,-0.9583195359583198,50,positive_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,stress_transition,delay,-58.40205225254745,-59.23630243616481,-64.09290309972125,-52.711201405373636,50,negative_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.25_idle0.75_deadline0.00,stress_transition,urgent_on_time,-10.136512945722982,-10.172806496335907,-11.126916721195263,-9.146109170250702,50,positive_better,0.0,0,0.0,0.25,0.75,0.0
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,primary,delay,-36.685752316758915,-37.4088028385392,-42.04928629681801,-31.322218336699823,50,negative_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,primary,urgent_on_time,-1.8647155827601514,-1.6732440405006783,-2.2726053414218494,-1.456825824098453,50,positive_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,stress_near_transition,delay,-11.620944271388048,-9.0533063687407,-16.790590301294934,-6.451298241481162,50,negative_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,stress_near_transition,urgent_on_time,-14.203538630312703,-14.267038829806026,-15.717734134392614,-12.689343126232792,50,positive_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,stress_non_binding,delay,1.6808714451165552e-05,3.787331719017073e-05,-5.042195462719069e-05,8.40393835295218e-05,50,negative_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,stress_strongly_constrained,delay,-37.305490001967605,-36.562792066805684,-41.70582235068255,-32.90515765325266,50,negative_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,stress_strongly_constrained,urgent_on_time,-1.0742979397841748,-0.9408554831895795,-1.3278840182458067,-0.8207118613225428,50,positive_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,stress_transition,delay,-52.03579628022951,-52.430404896691854,-55.945031207356834,-48.12656135310219,50,negative_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.00_deadline0.50,stress_transition,urgent_on_time,-9.148906395319903,-8.931419457735245,-10.090623080476838,-8.207189710162968,50,positive_better,0.0,0,0.0,0.5,0.0,0.5
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,primary,delay,-36.552694358148464,-34.80094976906177,-42.84951077762241,-30.255877938674516,50,negative_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,primary,urgent_on_time,-1.817521656434748,-1.6697091154410892,-2.252140945849592,-1.3829023670199043,50,positive_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,stress_near_transition,delay,-8.43368358478294,-0.6457874354774522,-12.970246658645095,-3.8971205109207867,50,negative_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,stress_near_transition,urgent_on_time,-13.080675833701767,-13.969696969696972,-14.312757858852015,-11.848593808551518,50,positive_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,stress_non_binding,delay,-8.993984349081885e-06,-3.241634680666017e-05,-8.30315390810529e-05,6.504357038288912e-05,50,negative_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,stress_strongly_constrained,delay,-38.06634054015819,-36.432118679903255,-42.879623831687546,-33.25305724862883,50,negative_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,stress_strongly_constrained,urgent_on_time,-1.145313357026323,-1.0595784095492777,-1.3994724163034007,-0.8911542977492453,50,positive_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,stress_transition,delay,-48.05798959788099,-52.84474582511481,-53.31209973910078,-42.8038794566612,50,negative_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.25_deadline0.25,stress_transition,urgent_on_time,-8.414777774866366,-8.444741532976826,-9.40773884442308,-7.421816705309653,50,positive_better,0.0,0,0.0,0.5,0.25,0.25
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,primary,delay,-37.40529951262326,-39.45604789473269,-42.911138371191285,-31.899460654055233,50,negative_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,primary,urgent_on_time,-1.8098239108821985,-1.549954686849388,-2.2266277890791253,-1.3930200326852715,50,positive_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,stress_near_transition,delay,-10.082485976337413,-2.771778863519865,-15.153392821623132,-5.011579131051693,50,negative_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,stress_near_transition,urgent_on_time,-12.554994289510018,-12.598343685300208,-14.299033995347095,-10.810954583672942,50,positive_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,stress_non_binding,delay,1.638542611380911e-05,-5.444623677454408e-05,-5.51042205390637e-05,8.787507276668193e-05,50,negative_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,stress_strongly_constrained,delay,-39.35465543856922,-41.6183603655831,-44.556665201544405,-34.15264567559403,50,negative_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,stress_strongly_constrained,urgent_on_time,-1.184765093663372,-1.052507531063335,-1.450246964541402,-0.919283222785342,50,positive_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,stress_transition,delay,-49.17588193221212,-48.68169938575947,-53.691091401689626,-44.66067246273462,50,negative_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.50_idle0.50_deadline0.00,stress_transition,urgent_on_time,-8.77437506293314,-8.386720053386718,-9.745809088501032,-7.802941037365249,50,positive_better,0.0,0,0.0,0.5,0.5,0.0
coarse,soc0.00_next_task_energy0.75_idle0.00_deadline0.25,primary,delay,-38.60233997841326,-38.41275390384101,-43.87756433286225,-33.327115623964275,50,negative_better,0.0,0,0.0,0.75,0.0,0.25
coarse,soc0.00_next_task_energy0.75_idle0.00_deadline0.25,primary,urgent_on_time,-1.9475149794546491,-2.024763168188854,-2.3663488442342806,-1.5286811146750177,50,positive_better,0.0,0,0.0,0.75,0.0,0.25
coarse,soc0.00_next_task_energy0.75_idle0.00_deadline0.25,stress_near_transition,delay,-10.73795323560605,-5.096113323608969,-15.411925755389488,-6.063980715822611,50,negative_better,0.0,0,0.0,0.75,0.0,0.25
