agv_id,strategy,scenario,scenario_value,completed_tasks,min_soc,idle_ratio,charge_h,stops,traction_energy,aux_energy,delivered_kwh,detour_m,replication
3,C3,base,base,374,68.95845389838183,0.3515135012200121,2.5256937573998077,0,4.719999999999968,0.7952777777777766,6.4600557967660865,1160.0,1013
4,C3,base,base,374,63.2222906720705,0.351713592355729,2.6025168412131703,0,4.709999999999969,0.7945833333333321,6.726386718452573,1110.0,1013
5,C3,base,base,373,71.32062703434998,0.35178308974066314,2.58487251859553,0,4.709999999999966,0.7933333333333323,6.4210797593936695,1170.0,1013
1,C4,base,base,374,73.31147800397449,0.34958339492015367,2.5290283985356203,0,5.015999999999935,0.8158333333333349,6.626010627040806,2640.0,1013
2,C4,base,base,374,51.605985216916395,0.3504790981347577,3.008228230653617,0,5.023999999999934,0.8163888888888905,7.707836348194269,2680.0,1013
3,C4,base,base,374,68.95845389838183,0.3514261511221112,2.6440164860887587,0,5.023999999999933,0.8163888888888906,6.817316168610492,2680.0,1013
4,C4,base,base,374,63.2222906720705,0.35129950104387053,2.704700280795135,0,5.0039999999999365,0.8150000000000015,7.118571251481662,2580.0,1013
5,C4,base,base,373,71.32062703434998,0.35135184297473215,2.6385387206095956,0,4.981999999999936,0.8122222222222236,6.711968648282589,2530.0,1013
1,C1,base,base,366,19.927942270905927,0.31076718827117567,1.2976306986869273,0,4.3939999999999895,0.7626388888888869,3.5036028864547037,10.0,1014
2,C1,base,base,351,19.926624714567662,0.31388833387162374,1.2976550978783763,0,4.213999999999995,0.731388888888887,3.5036687642716164,10.0,1014
3,C1,base,base,364,19.717833098439684,0.31581569298945394,1.2857631316861968,0,4.3699999999999894,0.7584722222222202,3.5141083450780153,10.0,1014
4,C1,base,base,362,19.73964143473751,0.3164958839995523,1.3011177512085645,0,4.34599999999999,0.7543055555555536,3.5130179282631246,10.0,1014
5,C1,base,base,363,19.950700610380153,0.31615076201340825,1.297209247955923,0,4.357999999999991,0.7563888888888869,3.502464969480992,10.0,1014
1,C2,base,base,362,62.51174900721196,0.3723830607063799,2.879808064628635,0,4.853999999999941,0.7895833333333346,6.9762139975658926,2550.0,1014
2,C2,base,base,361,67.33923170800298,0.37194697300912327,2.6151600239978685,0,4.833999999999942,0.7869444444444457,6.714224319827244,2510.0,1014
3,C2,base,base,361,76.89616643177342,0.37179033713516735,2.4805981484028985,0,4.845999999999941,0.7877777777777791,6.258663900633635,2570.0,1014
4,C2,base,base,361,79.7219643031765,0.3732128667227946,2.4668318788298156,0,4.8459999999999415,0.7877777777777791,6.130823483818745,2570.0,1014
