pad_id,location,strategy,scenario,scenario_value,utilization,sessions,wait_min,input_kwh,delivered_kwh,replication
1,staging,C3,base,base,24.85866117612712,234,51.635864918542545,17.89823604681153,15.214586344530135,1028
2,picking,C3,base,base,24.78278217648865,235,55.624676557123436,17.843603167071837,15.36400273915962,1028
1,staging,C4,base,base,26.258117112671407,648,51.51321210464059,18.905844321123414,16.41855669922739,1028
2,picking,C4,base,base,26.353816267987728,647,56.04286933095612,18.974747712951178,16.372061713725323,1028
1,staging,C1,base,base,21.362315667599777,4,0.0,15.38086728067184,14.02737561669584,1029
2,picking,C1,base,base,12.598787104937397,2,0.0,9.071126715554927,7.028683092828961,1029
1,staging,C2,base,base,29.825734360079842,617,89.18819168312255,21.47452873925746,17.952956371113533,1029
2,picking,C2,base,base,28.45837916630196,617,91.01138168863882,20.490032999737366,17.266380116189136,1029
1,staging,C3,base,base,26.930728568238344,260,89.41755508670911,19.39012456913159,16.603396782352384,1029
2,picking,C3,base,base,27.802488171017092,260,99.64053447578024,20.017791483132317,16.835298886621352,1029
1,staging,C4,base,base,28.62023873854679,590,80.62233530613285,20.60657189175368,17.825541537998735,1029
2,picking,C4,base,base,27.78020041572251,586,78.69467493975627,20.001744299320173,17.26332272708171,1029
1,staging,C1,base,base,16.94723318823407,3,0.0,12.202007895528528,10.5347909769066,1030
2,picking,C1,base,base,10.834750970929685,2,0.0,7.801020699069375,7.020918629162438,1030
1,staging,C2,base,base,27.814373982525094,663,50.679430163611386,20.026349267418038,16.99350675648044,1030
2,picking,C2,base,base,27.89388266842016,654,41.478653353318506,20.08359552126249,16.88786951625542,1030
1,staging,C3,base,base,24.865561491789848,255,49.3832936445562,17.903204274088694,15.32445969394353,1030
2,picking,C3,base,base,26.34364551840751,254,45.71127736183616,18.9674247732534,16.339080998176268,1030
1,staging,C4,base,base,27.036948379984555,632,47.01593330108478,19.46660283358885,16.80134967225281,1030
2,picking,C4,base,base,26.98999376475781,631,41.99775489234608,19.432795510625613,16.962387711594143,1030
1,staging,C1,base,base,16.232458712743313,3,6.653363247262072,11.687370273175189,10.518633245857668,1031
2,picking,C1,base,base,11.19201439694087,2,71.74652869006749,8.058250365797425,7.028112065745667,1031
1,staging,C2,base,base,26.045044403354385,637,54.32727301834793,18.75243197041516,15.523836921436805,1031
2,picking,C2,base,base,27.370408579976058,635,60.20818081930828,19.706694177582715,16.831519501277715,1031
1,staging,C3,base,base,24.314016326213466,228,54.581795323468604,17.506091754873694,15.046534368265638,1031
2,picking,C3,base,base,24.819579193671345,231,61.60949457376947,17.870097019443367,15.28115224651621,1031
1,staging,C4,base,base,25.467504550575153,613,42.987692634857225,18.336603276414117,15.798403205782401,1031
2,picking,C4,base,base,26.442026579132232,614,59.35846706673024,19.038259136975185,16.450008772487678,1031
1,staging,C1,base,base,16.866084449776853,3,2.4064543824459785,12.143580803839335,10.52553066601203,1032
2,picking,C1,base,base,10.81851820241146,2,0.9911024109672629,7.78933310573625,7.010399795162625,1032
1,staging,C2,base,base,27.850053875582592,645,60.94383974464617,20.052038790419484,16.737711873568514,1032
2,picking,C2,base,base,28.072867738313377,641,49.316968861045844,20.212464771585616,16.88011881967733,1032
1,staging,C3,base,base,25.796536911517897,246,60.51062371676316,18.5735065762929,15.458951688559592,1032
2,picking,C3,base,base,26.484630273749254,249,58.7005195092313,19.06893379709948,16.126564241427467,1032
1,staging,C4,base,base,26.347327803759086,611,55.29575133619764,18.970076018706536,16.554781133150982,1032
2,picking,C4,base,base,27.22809966227967,612,45.29740800624427,19.60423175684137,16.87261740186316,1032
1,staging,C1,base,base,17.98493468695237,3,71.7828111022854,12.94915297460571,10.521420428516567,1033
2,picking,C1,base,base,11.118828995128023,2,5.894246638635256,8.005556876492177,7.023431569647972,1033
1,staging,C2,base,base,25.88629177722732,634,45.93625606266611,18.638130079603624,15.630790218554178,1033
2,picking,C2,base,base,26.67465595541878,633,66.69712549731838,19.205752287901486,16.00922844627713,1033
1,staging,C3,base,base,24.298860768072334,231,50.123556651963796,17.495179753012074,14.803800276914146,1033
2,picking,C3,base,base,24.49389707581866,233,59.53376349932267,17.63560589458942,14.666174588735528,1033
1,staging,C4,base,base,25.039682021509673,609,52.64701154902719,18.02857105548693,15.480874312532537,1033
2,picking,C4,base,base,25.72723180204793,608,52.46032834778798,18.523606897474483,16.04578324118766,1033
1,staging,C1,base,base,13.157145900321144,2,0.0,9.473145048231224,7.013493821676162,1034
2,picking,C1,base,base,15.886019935986647,3,29.908586949514454,11.437934353910386,10.521221307304,1034
1,staging,C2,base,base,27.401698135954465,636,53.83745130879666,19.729222657887195,16.487417832149116,1034
2,picking,C2,base,base,27.107361592866024,637,60.45665486683321,19.517300346863497,16.51473666088655,1034
1,staging,C3,base,base,25.71769725535718,246,50.891438428466124,18.516742023857166,15.42423535119651,1034
2,picking,C3,base,base,25.327263509596204,246,59.75146833964757,18.235629726909274,15.498477864715856,1034
1,staging,C4,base,base,25.78699652910733,610,42.83905351617825,18.566637500957246,16.06291963878371,1034
2,picking,C4,base,base,26.7948435600325,605,57.33730460891804,19.29228736322339,16.807020188812356,1034
