replication,charging_contention_events,different_decision_rate_C4_vs_C3,one_minus_soc_std,E_next_std,T_idle_std,eta_WPT_std,D_std
4041,503,48.70775347912525,0.14537180344629802,0.3586395575692005,0.06806039612480136,0.01844855859713078,0.040870525843977226
4042,415,41.68674698795181,0.14320312269096103,0.35644561962424426,0.054635969724422646,0.01764291392465125,0.034279286672948515
4043,740,49.45945945945946,0.1403370806197225,0.349153401313237,0.0626685843512122,0.017900988884861142,0.040719741763036874
4044,808,50.61881188118812,0.10063677298609672,0.3613238586930886,0.07085776183572114,0.01837817686007747,0.03694602306520873
4045,658,53.951367781155014,0.1631084472590136,0.34140382645307504,0.07520110142058829,0.017703768336851333,0.042941083233521776
4046,731,48.15321477428181,0.11645509552285298,0.34420902924911756,0.06103583153290954,0.018161348920139854,0.039429891484072666
4047,579,46.45941278065631,0.16195128203459128,0.3490427163483084,0.055709105413907035,0.017663994402279122,0.044013511791309724
4048,758,51.05540897097626,0.13171682486285952,0.35802522887700844,0.06218042707702125,0.017703531724929757,0.04278509965355522
4049,693,47.474747474747474,0.1566025572162238,0.35812465441076663,0.06528096278164042,0.017748987899311803,0.03896043210732308
4050,742,48.113207547169814,0.1592141636630454,0.3595155779161734,0.060599576841920785,0.016549489781408654,0.037987196981273404
4051,743,49.39434724091521,0.11565000295428865,0.356729431300838,0.08554520743499612,0.017992842478449504,0.04345980580449935
4052,677,44.16543574593796,0.1347067135005479,0.34745542986959127,0.058616190251401405,0.017719275567442648,0.03865269818457068
4053,702,45.72649572649573,0.15791370367321234,0.35947959815977126,0.06671692321087798,0.017163561731174167,0.04114834513756922
4054,700,48.0,0.17883258546720057,0.352757746876508,0.05972083663301931,0.017288740088245703,0.03656045030644956
4055,649,48.38212634822804,0.15605715366542344,0.36139079408581265,0.05720559467756038,0.018212633644781623,0.031829481226573815
4056,769,51.49544863459038,0.13730530304155872,0.35091830790386336,0.07154511426656039,0.01752254280427979,0.04137317401086926
