scenario,strategy,replication,pad_id,utilization,sessions,wait_min,input_kwh,delivered_kwh
v3_primary_challenge,C1,1037,1,42.83867644455759,14,203.0342735037353,30.843847040081467,28.168187865820975
v3_primary_challenge,C2,1037,1,42.399556238761846,1506,0.0,30.527680491908676,27.959516552011458
v3_primary_challenge,C3,1037,1,42.43427846098407,1503,0.0,30.55268049190867,27.995609502552977
v3_primary_challenge,C4,1037,1,42.43427846098407,1503,0.0,30.55268049190867,27.99674768165255
v3_primary_challenge,C5,1037,1,42.43427846098407,1503,0.0,30.55268049190867,28.000865532869405
v3_primary_challenge,C1,1038,1,45.65994995644358,15,198.91071479565952,32.87516396863938,30.147255968620392
v3_primary_challenge,C2,1038,1,51.76168339897503,1102,0.0,37.26841204726209,34.10448864926523
v3_primary_challenge,C3,1038,1,38.601103868855596,1398,2.3684757858670006e-16,27.792794785576138,25.46113149056678
v3_primary_challenge,C4,1038,1,38.601103868855596,1398,0.0,27.792794785576138,25.464352784863014
v3_primary_challenge,C5,1038,1,38.601103868855596,1398,0.0,27.792794785576138,25.473157149928547
v3_primary_challenge,C1,1039,1,39.80252967380889,13,169.17668765242038,28.657821365142407,26.135902058456544
v3_primary_challenge,C2,1039,1,42.27732023968352,1455,0.0,30.43967057257223,27.88845505017721
v3_primary_challenge,C3,1039,1,42.27732023968352,1455,0.0,30.43967057257223,27.87506199756706
v3_primary_challenge,C4,1039,1,42.27732023968352,1455,0.0,30.43967057257223,27.87069647107757
v3_primary_challenge,C5,1039,1,42.27732023968352,1455,0.0,30.43967057257223,27.86929869128183
v3_primary_challenge,C1,1040,1,39.665498918612094,13,181.40195749222852,28.55915922140071,26.11776200737617
v3_primary_challenge,C2,1040,1,45.5924046782812,1219,0.0,32.82653136836251,30.118288994036153
v3_primary_challenge,C3,1040,1,39.57517246253038,1367,0.0,28.494124173021955,26.066219187752054
v3_primary_challenge,C4,1040,1,39.57517246253038,1367,0.0,28.494124173021955,26.092914842901312
v3_primary_challenge,C5,1040,1,39.57517246253038,1367,0.0,28.494124173021955,26.0969755596705
v3_primary_challenge,C1,1041,1,39.640801677581784,13,81.82875205144883,28.541377207858883,26.1327549997205
v3_primary_challenge,C2,1041,1,40.72476660044633,1456,0.0,29.32183195232148,26.845392604109026
v3_primary_challenge,C3,1041,1,40.72476660044633,1456,0.0,29.32183195232148,26.858315560380348
v3_primary_challenge,C4,1041,1,40.72476660044633,1456,0.0,29.32183195232148,26.858035014161388
v3_primary_challenge,C5,1041,1,40.72476660044633,1456,0.0,29.32183195232148,26.8212306050865
v3_primary_challenge,C1,1042,1,45.683067889573174,15,99.7632420656837,32.89180888049268,30.17188104119747
v3_primary_challenge,C2,1042,1,49.75680389501939,1246,2.3684757858670006e-16,35.82489880441403,32.9010049628251
v3_primary_challenge,C3,1042,1,38.6922044813664,1429,0.0,27.8583872265839,25.518159546489024
v3_primary_challenge,C4,1042,1,38.69220448136642,1429,2.3684757858670006e-16,27.8583872265839,25.54515122019008
v3_primary_challenge,C5,1042,1,38.6922044813664,1429,2.3684757858670006e-16,27.8583872265839,25.510528694217992
v3_primary_challenge,C1,1043,1,45.73872028150748,15,171.7416961976646,32.93187860268538,30.15368859842596
v3_primary_challenge,C2,1043,1,44.01552965773743,1393,0.0,31.691181353571068,29.034787127976458
v3_primary_challenge,C3,1043,1,41.34077533222043,1478,0.0,29.765358239198832,27.27513075394674
v3_primary_challenge,C4,1043,1,41.34077533222043,1478,0.0,29.765358239198832,27.25153538386221
v3_primary_challenge,C5,1043,1,41.34077533222043,1478,0.0,29.765358239198832,27.262960452352782
v3_primary_challenge,C1,1044,1,39.86877847585539,13,76.25194836639928,28.705520502615883,26.108111709668304
v3_primary_challenge,C2,1044,1,49.837148392243634,1250,0.0,35.882746842415536,32.81089043561823
v3_primary_challenge,C3,1044,1,39.49618027534765,1471,0.0,28.43724979825045,26.050534543160055
v3_primary_challenge,C4,1044,1,39.49618027534765,1471,0.0,28.43724979825045,26.058458022447414
v3_primary_challenge,C5,1044,1,39.49618027534765,1471,0.0,28.43724979825045,26.030550851243387
v3_primary_challenge,C1,1045,1,39.766290451240074,13,96.31850095374836,28.631729124892846,26.128717056126973
v3_primary_challenge,C2,1045,1,42.70647326104833,1512,0.0,30.74866074795488,28.119094305275297
v3_primary_challenge,C3,1045,1,42.70647326104833,1512,0.0,30.74866074795488,28.131849393878156
v3_primary_challenge,C4,1045,1,42.706473261048316,1512,0.0,30.74866074795488,28.110513900724147
v3_primary_challenge,C5,1045,1,42.64860289067796,1511,0.0,30.70699408128821,28.087899487964915
v3_primary_challenge,C1,1046,1,45.84620986021614,15,7.6733783711860575,33.009271099355615,30.13945591141035
v3_primary_challenge,C2,1046,1,49.63827449959942,1040,48.559780396101026,35.73955763971158,32.86720847766197
v3_primary_challenge,C3,1046,1,37.12165373957419,1336,0.0,26.72759069249352,24.483653741948938
v3_primary_challenge,C4,1046,1,37.12165373957419,1336,0.0,26.72759069249352,24.49888354907509
v3_primary_challenge,C5,1046,1,37.12165373957419,1336,0.0,26.72759069249352,24.481276120257657
v3_primary_challenge,C1,1047,1,42.573889327626546,14,131.2849454197086,30.653200315891105,28.104834586697322
v3_primary_challenge,C2,1047,1,45.68743163646249,1264,0.0,32.89495077825307,29.88076870074892
v3_primary_challenge,C3,1047,1,39.669527902832016,1425,0.0,28.562060090039182,26.174924198534104
v3_primary_challenge,C4,1047,1,39.669527902832016,1425,1.1842378929335003e-16,28.562060090039182,26.189567335897657
v3_primary_challenge,C5,1047,1,39.669527902832016,1425,1.1842378929335003e-16,28.562060090039182,26.135302560358813
v3_primary_challenge,C1,1048,1,42.40342223868029,14,96.51564145360172,30.530464011849805,28.10723434460062
v3_primary_challenge,C2,1048,1,45.9890607401009,1259,0.0,33.112123732872675,30.419027910355698
v3_primary_challenge,C3,1048,1,39.821276717453074,1417,0.0,28.6713192365663,26.26704788467341
v3_primary_challenge,C4,1048,1,39.821276717453074,1417,0.0,28.6713192365663,26.2694306326555
v3_primary_challenge,C5,1048,1,39.821276717453074,1417,0.0,28.6713192365663,26.266380350440176
v3_primary_challenge,C1,1049,1,42.393994242457396,14,68.07206260475662,30.523675854569326,28.15745973505055
v3_primary_challenge,C2,1049,1,46.86755961199914,1135,0.35785835986898745,33.74464292063946,31.026808552767033
v3_primary_challenge,C3,1049,1,37.996066433594486,1374,0.0,27.357167832188143,25.059326285737185
v3_primary_challenge,C4,1049,1,37.996066433594486,1374,0.0,27.357167832188143,25.076044201881793
v3_primary_challenge,C5,1049,1,37.996066433594486,1374,0.0,27.357167832188143,25.035790783035907
v3_primary_challenge,C1,1050,1,42.62096584523813,14,80.7040998944661,30.68709540857146,28.130887359988407
v3_primary_challenge,C2,1050,1,46.62276984078062,1276,1.1842378929335003e-16,33.568394285362096,30.65459336299524
v3_primary_challenge,C3,1050,1,40.17064670995819,1432,1.1842378929335003e-16,28.922865631170026,26.485321738356177
v3_primary_challenge,C4,1050,1,40.17064670995819,1432,1.1842378929335003e-16,28.922865631170026,26.51196416961427
v3_primary_challenge,C5,1050,1,40.17064670995819,1432,0.0,28.922865631170026,26.481028982798396
v3_primary_challenge,C1,1051,1,45.655241230632896,15,135.0785246356514,32.87177368605568,30.1300727892032
v3_primary_challenge,C2,1051,1,55.12290919060767,1071,127.78351615009537,39.688494617237595,36.55804556530308
v3_primary_challenge,C3,1051,1,37.659916737878504,1350,0.0,27.115140051272675,24.877092054202308
v3_primary_challenge,C4,1051,1,37.659916737878504,1350,0.0,27.115140051272675,24.830079559159852
v3_primary_challenge,C5,1051,1,52.50898087718661,1311,218.18996829152263,37.806466231574504,34.52214859311679
v3_primary_challenge,C1,1052,1,43.11837166045599,14,68.7328622579124,31.04522759552832,28.147559843004196
v3_primary_challenge,C2,1052,1,52.16931045774772,1146,70.32300971949347,37.56190352957842,34.52640703961464
v3_primary_challenge,C3,1052,1,37.057355382329895,1360,0.0,26.681295875277634,24.43443115953498
v3_primary_challenge,C4,1052,1,37.057355382329895,1360,0.0,26.681295875277634,24.424089378585535
v3_primary_challenge,C5,1052,1,37.057355382329895,1360,0.0,26.681295875277634,24.422838308910027
v3_primary_challenge,C1,1053,1,39.41959890270191,13,115.86488723354002,28.382111209945368,26.099945095683676
v3_primary_challenge,C2,1053,1,48.929740528011386,1181,0.0,35.2294131801683,32.189724292116004
v3_primary_challenge,C3,1053,1,39.619541607208255,1443,0.0,28.52606995719006,26.142671390912856
v3_primary_challenge,C4,1053,1,39.619541607208255,1443,0.0,28.52606995719006,26.141506439326022
v3_primary_challenge,C5,1053,1,39.619541607208255,1443,0.0,28.52606995719006,26.11516637181017
v3_primary_challenge,C1,1054,1,39.585353890994696,13,50.587376097015415,28.501454801516186,26.123823425297406
v3_primary_challenge,C2,1054,1,45.70390925231124,1382,0.0,32.9068146616642,30.14215350503357
v3_primary_challenge,C3,1054,1,42.78015229113106,1471,0.0,30.801709649614484,28.207452330584182
v3_primary_challenge,C4,1054,1,42.78015229113106,1471,0.0,30.801709649614484,28.223764576333586
v3_primary_challenge,C5,1054,1,42.78015229113106,1471,0.0,30.801709649614484,28.20040658103642
v3_primary_challenge,C1,1055,1,45.582291034118455,15,36.31203801217201,32.81924954456528,30.14115242289348
v3_primary_challenge,C2,1055,1,47.0787354252944,1478,0.0,33.89668950621209,31.05236871842146
v3_primary_challenge,C3,1055,1,41.94030953916542,1492,0.0,30.197022868199227,27.654703960626122
v3_primary_challenge,C4,1055,1,41.94030953916542,1492,0.0,30.197022868199227,27.66420265339912
v3_primary_challenge,C5,1055,1,41.94030953916542,1492,0.0,30.197022868199227,27.668233917057492
v3_primary_challenge,C1,1056,1,36.57233550889368,12,57.60714863841452,26.332081566403446,24.137864456523452
v3_primary_challenge,C2,1056,1,45.925078204520844,1407,1.1842378929335003e-16,33.06605630725508,30.305502528854873
v3_primary_challenge,C3,1056,1,43.14421183958464,1498,0.0,31.063832524501052,28.464082687487153
v3_primary_challenge,C4,1056,1,43.14421183958464,1498,1.1842378929335003e-16,31.063832524501052,28.467982951283833
v3_primary_challenge,C5,1056,1,43.14421183958464,1498,1.1842378929335003e-16,31.063832524501052,28.426488167587024
