scenario,strategy,replication,time_s,candidate_count,available_pads,c3_agv,c4_agv,c4_preview_task_id,different
v3_primary_challenge,C2,1007,43304.38931027907,3,1,3,3,1128,0
v3_primary_challenge,C2,1007,43317.3578285785,2,1,3,3,1128,0
v3_primary_challenge,C2,1007,43387.3578285785,3,1,4,4,1128,0
v3_primary_challenge,C2,1007,43397.3578285785,2,1,4,4,1128,0
v3_primary_challenge,C2,1007,43477.3578285785,3,1,3,1,1130,1
v3_primary_challenge,C2,1007,43547.3578285785,3,1,3,1,1130,1
v3_primary_challenge,C2,1007,43557.3578285785,3,1,3,1,1130,1
v3_primary_challenge,C2,1007,43567.3578285785,2,1,3,3,1132,0
v3_primary_challenge,C2,1007,43592.38192893731,2,1,4,3,1133,1
v3_primary_challenge,C2,1007,43742.49216444355,2,1,1,1,1135,0
v3_primary_challenge,C2,1007,43824.25074309971,3,1,4,3,1137,1
v3_primary_challenge,C2,1007,43834.25074309971,2,1,3,3,1137,0
v3_primary_challenge,C2,1007,44057.061927464165,3,1,4,4,1145,0
v3_primary_challenge,C2,1007,44090.18419872923,2,1,4,4,1145,0
v3_primary_challenge,C2,1007,44196.37953464316,3,1,4,3,1146,1
v3_primary_challenge,C2,1007,44206.37953464316,2,1,4,3,1146,1
v3_primary_challenge,C2,1007,44320.18419872923,2,1,2,2,1148,0
v3_primary_challenge,C2,1007,44719.51919048334,2,1,4,2,1161,1
v3_primary_challenge,C2,1007,44799.51919048334,3,1,1,5,1161,1
v3_primary_challenge,C2,1007,44817.59298032929,2,1,1,2,1163,1
v3_primary_challenge,C2,1007,44887.59298032929,4,1,4,4,1164,0
v3_primary_challenge,C2,1007,44897.59298032929,3,1,4,4,1164,0
v3_primary_challenge,C2,1007,44907.59298032929,2,1,4,4,1164,0
v3_primary_challenge,C2,1007,45077.201187176805,2,1,4,1,1169,1
v3_primary_challenge,C2,1007,45101.41449382841,2,1,1,1,1170,0
v3_primary_challenge,C2,1007,45759.38546987692,3,1,4,4,1187,0
v3_primary_challenge,C2,1007,45769.38546987692,2,1,4,4,1187,0
v3_primary_challenge,C2,1007,46063.16438559868,3,1,3,3,1195,0
v3_primary_challenge,C2,1007,46090.53192722996,2,1,3,3,1195,0
v3_primary_challenge,C2,1007,46154.17463044841,3,1,4,4,1197,0
v3_primary_challenge,C2,1007,46224.17463044841,3,1,4,4,1197,0
v3_primary_challenge,C2,1007,46234.17463044841,2,1,4,4,1197,0
v3_primary_challenge,C2,1007,46263.28146656284,2,1,2,5,1198,1
v3_primary_challenge,C2,1007,46333.28146656284,3,1,3,2,1200,1
v3_primary_challenge,C2,1007,46403.28146656284,4,1,3,1,1200,1
v3_primary_challenge,C2,1007,46463.03691757922,4,1,4,2,1202,1
v3_primary_challenge,C2,1007,46477.47219159054,3,1,4,2,1202,1
v3_primary_challenge,C2,1007,46494.39695844296,2,1,4,2,1202,1
v3_primary_challenge,C2,1007,46564.39695844296,2,1,4,2,1202,1
v3_primary_challenge,C2,1007,47043.7456404036,3,1,4,2,1216,1
v3_primary_challenge,C2,1007,47218.02334568646,2,1,4,4,1219,0
v3_primary_challenge,C2,1007,47234.48329285381,3,1,1,2,1220,1
v3_primary_challenge,C2,1007,47250.01273361357,2,1,1,1,1221,0
