scenario,metric,comparison,mean_diff,ci95_low,ci95_high,cohens_d,n
stress_w75_p1_kw3,mean_delay,C4-C3,-1.9863673935442415e-05,-4.121079699355701e-05,1.4834491226721776e-06,-0.2644475162145721,50
stress_w75_p1_kw3,urgent_on_time_rate,C4-C2,0.015748031496063106,-0.015898822631956643,0.04739488562408285,0.14142135623730948,50
stress_w75_p1_kw3,urgent_on_time_rate,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw3,completion_rate,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw3,completion_rate,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw3,wpt_loss,C4-C2,-1.400086742217727,-1.4813502894826711,-1.3188231949527829,-4.896417433788135,50
stress_w75_p1_kw3,wpt_loss,C4-C3,-1.455869877684289,-1.5224998824891345,-1.3892398728794437,-6.209719516915598,50
stress_w75_p1_kw3,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw3,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw5,mean_delay,C4-C2,-5.481212995442075e-05,-0.00013711059909572102,2.748633918687954e-05,-0.189279765937376,50
stress_w75_p1_kw5,mean_delay,C4-C3,-9.23324068410708e-05,-0.0001717257789290742,-1.2939034753067414e-05,-0.33051347983429186,50
stress_w75_p1_kw5,urgent_on_time_rate,C4-C2,-0.010748499538319436,-0.025872795779999867,0.004375796703360997,-0.2019723576737007,50
stress_w75_p1_kw5,urgent_on_time_rate,C4-C3,-0.010748499538319436,-0.025872795779999867,0.004375796703360997,-0.2019723576737007,50
stress_w75_p1_kw5,completion_rate,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw5,completion_rate,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw5,wpt_loss,C4-C2,-0.9526333800823433,-1.0537236155166447,-0.851543144648042,-2.678155905924482,50
stress_w75_p1_kw5,wpt_loss,C4-C3,-0.9204476849431008,-1.0130843956204072,-0.8278109742657945,-2.8238085721801873,50
stress_w75_p1_kw5,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw5,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p2_kw1,mean_delay,C4-C2,1.4037008745713826,-4.27742301757397,7.084824766716734,0.07021979843835911,50
stress_w75_p2_kw1,mean_delay,C4-C3,-1.9569576953601089,-4.576855922673609,0.6629405319533908,-0.2122835221465122,50
stress_w75_p2_kw1,urgent_on_time_rate,C4-C2,17.193767962965296,15.115766146624823,19.271769779305767,2.351496880692494,50
stress_w75_p2_kw1,urgent_on_time_rate,C4-C3,-0.25945424834981506,-0.6681300533569265,0.14922155665729636,-0.18042683374598725,50
stress_w75_p2_kw1,completion_rate,C4-C2,-0.7362937921024042,-2.703214447169767,1.2306268629649584,-0.10638577611020283,50
