scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,ablation_group,ablation_case
ablation_equal_distance,C2,1017,2134,2131,88.79166666666667,99.85941893158387,0.7254905080737262,111.04973120529563,0.1547550777655705,13.436123348017626,2.083333333333337,86.56387665198237,0.309427339625012,4.384644648666144,0,13220.0,28.25199999999957,4.629444444444449,35.206157734995664,28.315336577035033,6.890821157960646,80.4272275042641,19.809782473299165,21.298721754432368,7.016614822602664,48.89744129860512,2.0,4,21.92322324333072,614,12.37785016286645,295,1322,dist,equal_distance
ablation_equal_distance,C3,1017,2134,2131,88.79166666666667,99.85941893158387,0.35661137472051857,4.176659074377434,0.005363074328699438,5.5066079295154164,0.0,94.49339207048459,0.32356343155268225,0.0,0,15230.0,28.653999999999527,4.65736111111112,30.117164641034357,24.06664440673025,6.0505202343041375,79.91006023833887,32.34722856089034,24.06664440673025,0.0,41.829395334769984,2.0,4,0.0,702,55.12820512820513,353,1523,dist,equal_distance
ablation_equal_distance,C4,1017,2134,2131,88.79166666666667,99.85941893158387,0.35661137472051857,4.176659074377434,0.005363074328699438,5.5066079295154164,0.0,94.49339207048459,0.32356343155268225,0.0,0,15230.0,28.653999999999527,4.65736111111112,30.11716464103436,24.75614425540836,5.361020385626025,82.19945187562026,29.844299133827167,24.75614425540836,0.0,41.829395334769984,2.0,4,0.0,702,48.00569800569801,353,1523,dist,equal_distance
ablation_equal_distance,C1,1018,2228,2119,88.29166666666667,95.10771992818673,53.80411325540829,344.8299498822454,50.57300141773302,69.51754385964912,63.99548532731377,30.482456140350877,0.2667825103092762,148.04785514008756,0,90.0,26.75399999999977,4.642916666666656,41.15829628866059,31.57313202442409,9.5851642642365,76.71146493282502,19.745540515347994,0.0,31.57313202442409,57.164300400917476,0.0,0,740.2392757004379,0,0.0,0,9,dist,equal_distance
ablation_equal_distance,C2,1018,2228,2196,91.5,98.56373429084381,2.7761413695171107,136.35018920846682,1.5233454149765762,30.92105263157895,14.559819413092557,69.07894736842105,0.2685016382157451,13.597502157821994,0,9980.0,28.731999999999594,4.780277777777776,40.53941024233179,33.32934928022248,7.210060962109309,82.21468709334981,19.80181880797806,15.800526009072934,17.528823271149548,56.30473644768305,2.0,4,67.98751078910998,433,26.096997690531175,217,998,dist,equal_distance
ablation_equal_distance,C3,1018,2228,2199,91.625,98.69838420107719,2.539705709830789,513.6570061849501,1.9696747942626631,13.596491228070173,1.241534988713322,86.40350877192982,0.23446080455185841,178.11642461317896,0,13680.0,29.471999999999504,4.831666666666673,52.79411036133097,39.00063202442428,13.793478336906702,73.87307363927147,19.75745271797219,21.45372262042687,17.546909403997404,73.32515327962636,2.0,4,890.5821230658948,593,63.06913996627319,302,1368,dist,equal_distance
ablation_equal_distance,C4,1018,2228,2195,91.45833333333333,98.51885098743267,1.548061096459347,343.900404029958,0.8969760863603919,16.228070175438592,2.5395033860045158,83.77192982456141,0.2529948588354152,117.51806350695924,0,13110.0,29.357999999999517,4.823750000000006,46.1218508192505,38.9491320244243,7.172718794826207,84.44832835755928,19.787432565551992,21.41087259651093,17.538259427913374,64.05812613784792,2.0,4,587.5903175347962,565,46.54867256637168,291,1311,dist,equal_distance
ablation_equal_distance,C1,1019,2165,2120,88.33333333333333,97.92147806004618,43.755569408395154,313.7579938157227,40.436072277930315,67.70601336302894,69.17249417249417,32.29398663697104,0.2996436519721919,109.0242433846504,0,90.0,25.9979999999998,4.511666666666654,35.62828529001093,31.58243213199742,4.045853158013502,88.64426641618972,19.708505690414956,0.0,31.58243213199742,49.48372956945962,0.0,0,545.1212169232521,0,0.0,0,9,dist,equal_distance
ablation_equal_distance,C2,1019,2165,2108,87.83333333333333,97.36720554272517,5.6730167068374,149.3196114130636,4.183151088765012,30.734966592427615,23.076923076923073,69.26503340757239,0.2780326950970771,30.824004666701754,0,10830.0,28.14599999999961,4.660833333333332,43.40822976505221,35.55551546533092,7.852714299721304,81.90961865474763,19.74141462301861,18.011254795741554,17.544260669589363,60.28920800701697,2.0,4,154.12002333350878,509,17.68172888015717,224,1083,dist,equal_distance
ablation_equal_distance,C3,1019,2165,2160,90.0,99.76905311778292,0.572065471441917,5.480814196640859,0.02130489067890694,12.917594654788422,0.0,87.08240534521158,0.31915621118632,0.0,0,13950.0,28.76999999999954,4.704166666666671,28.603763972924774,23.273291158786098,5.330472814138709,81.36443574634339,20.382620254809407,23.273291158786098,0.0,39.72744996239557,2.0,4,0.0,668,62.4251497005988,289,1395,dist,equal_distance
ablation_equal_distance,C4,1019,2165,2158,89.91666666666667,99.67667436489607,0.6570230596120675,167.3731915983556,0.0968451319360442,12.917594654788422,0.05827505827505908,87.08240534521158,0.2991876721016369,0.0,0,13490.0,28.677999999999553,4.697777777777782,35.79243804341068,26.83201168899198,8.960426354418725,74.96558814029073,19.777728783785943,23.320898128181277,3.5111135608107027,49.711719504737104,2.0,4,0.0,641,52.73010920436817,278,1349,dist,equal_distance
ablation_equal_distance,C1,1020,2168,2054,85.58333333333333,94.74169741697416,51.23855944239773,331.9233329109275,47.67003090435629,70.12658227848101,72.81443880428652,29.873417721518987,0.26315355717881256,177.60667332076946,0,100.0,26.0359999999998,4.518055555555543,48.464719415627464,35.08034737562534,13.38437204000213,72.3832672480379,19.716562845431053,0.0,35.08034737562534,67.31211029948258,0.0,0,888.0333666038472,0,0.0,0,10,dist,equal_distance
ablation_equal_distance,C2,1020,2168,2158,89.91666666666667,99.53874538745387,0.896726318613791,142.26980405471525,0.24350170940769475,14.177215189873415,0.958826847151717,85.82278481012658,0.2781483702530815,12.477637837348205,0,11890.0,28.393999999999593,4.681805555555558,43.066586708890625,36.18448110455243,6.882105604338202,84.01984895887405,19.693399301277342,18.629517585349696,17.554963519202737,59.81470376234811,2.0,4,62.38818918674102,544,11.029411764705882,274,1189,dist,equal_distance
ablation_equal_distance,C3,1020,2168,2094,87.25,96.58671586715867,5.383870688776939,411.7090536916039,4.781754039426403,12.658227848101266,3.327693175408908,87.34177215189874,0.26130720765265514,159.03372087632482,0,14130.0,28.841999999999533,4.712916666666674,49.129405245044126,39.91204182006995,9.217363424974193,81.23860165006992,19.687672174766526,22.36034912525718,17.551692694812772,68.23528506256132,2.0,4,795.168604381624,659,54.17298937784521,321,1413,dist,equal_distance
ablation_equal_distance,C4,1020,2168,2081,86.70833333333333,95.9870848708487,4.236940691779278,326.83783453475894,3.494752084168971,16.70886075949367,5.076142131979699,83.29113924050633,0.2673574587527498,90.39337915229932,0,13100.0,28.635999999999555,4.698611111111116,46.95131484901003,39.12840293118108,7.822911917828966,83.3382474101385,19.71754633728386,21.59691426778773,17.531488663393347,65.21015951251395,2.0,4,451.9668957614966,615,50.081300813008134,292,1310,dist,equal_distance
ablation_equal_distance,C1,1021,2077,1992,83.0,95.90755897929706,72.53182867880759,455.58528600561954,69.1425871591783,71.67070217917674,70.1923076923077,28.329297820823246,0.30506001880882716,147.82079262220353,0,80.0,24.939999999999838,4.328194444444432,42.47839322882221,28.09006597399808,14.388327254824123,66.12789194422392,19.70612349147396,0.0,28.09006597399808,58.99776837336418,0.0,0,739.1039631110177,0,0.0,0,8,dist,equal_distance
ablation_equal_distance,C2,1021,2077,1990,82.91666666666667,95.81126624939817,6.606054987969837,236.3179135182797,5.463919073474031,24.939467312348672,16.526442307692314,75.06053268765133,0.29340111648479045,47.0014311558502,0,12290.0,27.38199999999961,4.49777777777778,46.67559806547543,34.1881221543478,12.487475911127639,73.24624337194247,19.677573982571122,20.141828760716553,14.046293393631244,64.82721953538257,2.0,4,235.007155779251,602,16.27906976744186,263,1229,dist,equal_distance
ablation_equal_distance,C3,1021,2077,2075,86.45833333333333,99.90370727010111,0.348971156154335,4.427491739775481,0.011979254841230894,6.537530266343827,0.0,93.46246973365618,0.33476938842309356,0.0,0,15640.0,28.051999999999538,4.544305555555566,31.783020167686296,25.591913291202523,6.191106876483797,80.52070934788553,31.6614969569039,25.591913291202523,0.0,44.143083566231006,2.0,4,0.0,751,61.91744340878829,352,1564,dist,equal_distance
