scenario,strategy,replication,agv_id,min_soc,completed_tasks,charge_h,stops,traction_energy,delivered_kwh,detour_m
v3_primary_challenge,C2,1014,2,19.702433011006107,449,2.4644695448796736,0,5.681999999999954,6.50404888482477,1800.0
v3_primary_challenge,C2,1014,3,19.715181629768168,451,2.2690272274283982,0,5.729999999999959,6.165256940035689,1670.0
v3_primary_challenge,C2,1014,4,19.67647103034816,439,2.8029154204319426,0,5.7159999999999584,6.835702828643273,2250.0
v3_primary_challenge,C2,1014,5,19.73661464484303,440,2.7965456121570624,0,5.621999999999961,6.383343653871845,1880.0
v3_primary_challenge,C3,1014,1,19.651647899126083,428,3.003988882388895,0,5.6299999999999475,7.884325108676945,2460.0
v3_primary_challenge,C3,1014,2,19.809357312635452,435,2.9169606230086216,0,5.591999999999944,7.6271687642716355,2420.0
v3_primary_challenge,C3,1014,3,19.729761364152296,433,3.145884841331027,0,5.6499999999999355,7.22258056730025,2630.0
v3_primary_challenge,C3,1014,4,19.709344766390803,492,4.291009470358518,0,6.33199999999994,7.042156817152023,2320.0
v3_primary_challenge,C3,1014,5,19.610156046242793,447,3.1225636101748466,0,5.997999999999933,7.746076080592134,3020.0
v3_primary_challenge,C4,1014,1,19.92828753935641,413,2.9009092892167985,0,5.387999999999956,7.615325108676942,2210.0
v3_primary_challenge,C4,1014,2,19.825985196233788,401,3.0250039341728754,0,5.139999999999956,7.02444654204941,2150.0
v3_primary_challenge,C4,1014,3,19.788064155362385,445,3.10124480802326,0,5.713999999999951,6.662830567300254,1910.0
v3_primary_challenge,C4,1014,4,19.944209671565556,478,2.669770170829036,0,6.187999999999944,6.43960126159647,2070.0
v3_primary_challenge,C4,1014,5,19.814065505364255,498,4.307379451376965,0,6.395999999999934,6.979187191703248,2630.0
v3_primary_challenge,C5,1014,1,15.660298996975703,441,1.8327216570845517,0,6.023999999999927,4.672544511791829,2940.0
v3_primary_challenge,C5,1014,2,16.682369631731337,446,1.653658279755432,0,5.84799999999994,4.267176134747091,2520.0
v3_primary_challenge,C5,1014,3,26.478726976928655,453,1.74724915868886,0,5.793999999999943,4.2396002494800245,2580.0
v3_primary_challenge,C5,1014,4,14.323489010820529,456,1.6129457336719621,0,5.875999999999941,3.7799145619884285,2510.0
v3_primary_challenge,C5,1014,5,16.405234035709913,439,1.906936303305331,0,5.781999999999939,4.318832825532204,2910.0
v3_primary_challenge,C1,1015,1,19.636666666666557,446,2.687199454624236,0,5.307999999999982,7.031090041593366,20.0
v3_primary_challenge,C1,1015,2,19.815368191554175,416,4.038830569642928,0,5.06799999999998,7.015259368200072,20.0
v3_primary_challenge,C1,1015,3,19.922486927866565,411,2.753160748625625,0,4.873999999999985,3.5038756536066717,10.0
v3_primary_challenge,C1,1015,4,19.722503578812294,451,2.7650332767337384,0,5.341999999999979,7.017430376614945,20.0
v3_primary_challenge,C1,1015,5,19.82611111111102,464,3.495165847851071,0,5.653999999999977,7.014793550311369,20.0
v3_primary_challenge,C2,1015,1,19.755197997268002,429,2.0963526871163043,0,5.30999999999997,5.647145187720089,1370.0
v3_primary_challenge,C2,1015,2,19.727589775354236,425,2.4890474944044785,0,5.48999999999996,6.680948422348766,1850.0
v3_primary_challenge,C2,1015,3,21.342169716957894,462,2.0759467438851313,0,6.00799999999994,5.037343428946929,2710.0
v3_primary_challenge,C2,1015,4,19.901581092916675,428,2.9520686327036056,0,5.697999999999947,7.088561443998077,2190.0
v3_primary_challenge,C2,1015,5,19.72089188445419,444,2.4433153750832535,0,5.64999999999996,5.644222190729444,1520.0
v3_primary_challenge,C3,1015,1,19.853841756769697,373,2.567339390969616,0,4.963999999999964,6.493701152704501,1910.0
v3_primary_challenge,C3,1015,2,19.826907562633977,476,2.3043954992893245,0,6.021999999999953,6.04417603486676,1470.0
v3_primary_challenge,C3,1015,3,19.886794758815412,510,2.1794307675233378,0,6.22599999999995,5.878208986940026,1470.0
v3_primary_challenge,C3,1015,4,19.617566750388715,427,2.8813461259007838,0,5.605999999999953,6.8064303766149745,2060.0
v3_primary_challenge,C3,1015,5,19.657674546449527,402,2.801223652789516,0,5.279999999999962,6.91312688364474,2440.0
v3_primary_challenge,C4,1015,1,19.75931754920113,394,2.3937565899939677,0,5.099999999999965,6.541840041593394,1720.0
v3_primary_challenge,C4,1015,2,19.792244678782104,467,2.0996097489417416,0,5.915999999999958,5.800842701533426,1450.0
v3_primary_challenge,C4,1015,3,19.808271739003157,447,2.1443855424036675,0,5.569999999999961,5.812070098051137,1300.0
v3_primary_challenge,C4,1015,4,19.74104003756662,404,2.7991482630822206,0,5.293999999999961,6.717485932170532,2200.0
v3_primary_challenge,C4,1015,5,19.875814719521447,476,2.6536253561419594,0,6.089999999999952,6.48759910586695,2040.0
v3_primary_challenge,C5,1015,1,13.302766904232719,443,1.6612934711887732,0,5.737999999999941,4.3155061645827955,2380.0
